Kommune;02.apr;03.apr;04.apr;05.apr;06.apr;07.apr;08.apr;09.apr;10.apr;11.apr;12.apr;13.apr;14.apr;15.apr;16.apr;19.apr;20.apr;21.apr;22.apr
;;;;;;;;;;;;;;;;;;;
Albertslund;3;2;1;1;1;1;2;2;2;2;3;3;4;4;4;2;1;4;4
;;;;;;;;;;;;;;;;;;;
Allerød;4;3;3;3;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
;;;;;;;;;;;;;;;;;;;
Ballerup;7;6;6;6;5;6;8;7;6;5;3;4;4;2;4;5;6;4;6
;;;;;;;;;;;;;;;;;;;
Bornholm;6;5;5;4;4;3;2;2;2;2;2;2;2;2;2;2;2;2;2
;;;;;;;;;;;;;;;;;;;
Brøndby;8;7;8;8;8;8;9;10;9;9;9;9;8;9;9;10;10;9;7
;;;;;;;;;;;;;;;;;;;
Dragør;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;;;;;;;;;;;;;;;;;;;
Egedal;2;2;4;4;4;1;3;5;4;3;2;3;2;3;2;2;3;3;3
;;;;;;;;;;;;;;;;;;;
Fredensborg;2;2;1;1;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;
Frederiksberg;23;23;23;22;20;19;14;14;14;11;11;13;14;12;13;16;17;17;15
;;;;;;;;;;;;;;;;;;;
Frederikssund;7;5;5;6;4;4;2;1;2;2;2;2;3;1;2;2;0;0;0
;;;;;;;;;;;;;;;;;;;
Furesø;3;5;5;5;3;3;3;3;2;2;2;2;5;4;4;4;4;4;4
;;;;;;;;;;;;;;;;;;;
Gentofte;3;3;3;2;2;2;1;2;3;2;2;2;3;3;3;4;4;4;3
;;;;;;;;;;;;;;;;;;;
Gladsaxe;9;10;10;11;11;13;14;11;12;12;12;13;11;9;10;11;13;10;11
;;;;;;;;;;;;;;;;;;;
Glostrup;6;6;6;6;3;3;6;5;6;6;7;5;5;5;5;5;7;7;8
;;;;;;;;;;;;;;;;;;;
Gribskov;4;4;4;3;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2
;;;;;;;;;;;;;;;;;;;
Halsnæs;3;3;2;2;2;2;2;1;1;1;1;1;3;3;3;1;1;1;1
;;;;;;;;;;;;;;;;;;;
Helsingør;6;7;6;6;4;3;3;2;2;2;3;3;3;2;2;1;2;2;3
;;;;;;;;;;;;;;;;;;;
Herlev;2;3;3;3;2;2;2;2;2;3;2;4;3;3;3;3;3;5;4
;;;;;;;;;;;;;;;;;;;
Hillerød;6;5;6;6;7;6;6;7;5;6;6;5;7;7;7;6;6;7;7
;;;;;;;;;;;;;;;;;;;
Hvidovre;9;9;7;6;7;5;5;5;5;4;4;4;4;3;3;3;3;7;11
;;;;;;;;;;;;;;;;;;;
Høje-Taastrup;3;3;3;4;6;6;6;5;4;3;3;3;4;5;5;3;4;6;7
;;;;;;;;;;;;;;;;;;;
Hørsholm;5;5;4;4;4;4;3;3;3;3;3;3;4;6;5;4;4;4;4
;;;;;;;;;;;;;;;;;;;
Ishøj;5;5;5;5;5;4;4;4;4;4;3;3;3;3;3;1;1;1;1
;;;;;;;;;;;;;;;;;;;
København;81;76;80;84;79;78;77;74;76;72;75;76;67;60;60;58;55;53;45
;;;;;;;;;;;;;;;;;;;
Lyngby-Tårbæk;4;4;4;3;5;5;5;6;5;4;4;3;2;1;1;0;1;1;1
;;;;;;;;;;;;;;;;;;;
Rudersdal;1;1;1;2;2;3;3;2;2;2;2;1;1;2;1;2;2;3;2
;;;;;;;;;;;;;;;;;;;
Rødovre;3;3;4;4;3;2;3;3;2;3;2;2;2;1;1;1;3;1;1
;;;;;;;;;;;;;;;;;;;
Taarnby;2;2;2;2;3;4;5;6;6;6;6;5;5;5;3;3;2;2;2
;;;;;;;;;;;;;;;;;;;
Vallensbæk;3;2;3;2;3;1;1;2;3;4;4;3;3;3;2;2;2;2;2
;;;;;;;;;;;;;;;;;;;
