;2020K1;
København;632340;
Frederiksberg;104305;
Dragør;14494;
Tårnby;42989;
Albertslund;27731;
Ballerup;48602;
Brøndby;35090;
Gentofte;74830;
Gladsaxe;69262;
Glostrup;23128;
Herlev;28953;
Hvidovre;53527;
Høje-Taastrup;50759;
Ishøj;22989;
Lyngby-Taarbæk;56214;
Rødovre;40652;
Vallensbæk;16633;
Allerød;25633;
Egedal;43354;
Fredensborg;40865;
Frederikssund;45223;
Furesø;40965;
Gribskov;41048;
Halsnæs;31384;
Helsingør;62695;
Hillerød;51183;
Hørsholm;24864;
Rudersdal;56728;
Bornholm;39499;
Christiansø;84;
