KomKode;Y;X;KmsCellId;NBefPer;Dagbefolk
155;6163050;725450;100M_61630_7254;3;0
155;6163050;725650;100M_61630_7256;1;0
155;6163150;724750;100M_61631_7247;4;0
155;6163150;724950;100M_61631_7249;0;1
155;6163150;725550;100M_61631_7255;0;105
155;6163250;724750;100M_61632_7247;7;2
155;6163250;726150;100M_61632_7261;1;0
155;6163350;725050;100M_61633_7250;5;43
155;6163350;725150;100M_61633_7251;4;0
155;6163350;726250;100M_61633_7262;1;0
155;6163450;725250;100M_61634_7252;4;0
155;6163450;726050;100M_61634_7260;3;0
155;6163450;726150;100M_61634_7261;0;2
155;6163450;726450;100M_61634_7264;6;10
155;6163550;725450;100M_61635_7254;4;0
155;6163550;725550;100M_61635_7255;5;0
155;6163550;726050;100M_61635_7260;4;0
155;6163550;727550;100M_61635_7275;15;2
155;6163650;725450;100M_61636_7254;7;1
155;6163650;725550;100M_61636_7255;0;20
155;6163650;725650;100M_61636_7256;6;0
155;6163650;727450;100M_61636_7274;6;0
155;6163650;727550;100M_61636_7275;16;0
155;6163650;727650;100M_61636_7276;26;2
155;6163650;727750;100M_61636_7277;27;2
155;6163750;725350;100M_61637_7253;8;0
155;6163750;725450;100M_61637_7254;8;1
155;6163750;725550;100M_61637_7255;9;1
155;6163750;725950;100M_61637_7259;2;0
155;6163750;727450;100M_61637_7274;16;2
155;6163750;727550;100M_61637_7275;41;1
155;6163750;727650;100M_61637_7276;44;1
155;6163750;727750;100M_61637_7277;27;1
155;6163750;727850;100M_61637_7278;27;0
155;6163750;727950;100M_61637_7279;26;1
155;6163850;725350;100M_61638_7253;12;0
155;6163850;725450;100M_61638_7254;6;1
155;6163850;725950;100M_61638_7259;1;4
155;6163850;726650;100M_61638_7266;3;0
155;6163850;726750;100M_61638_7267;5;0
155;6163850;727350;100M_61638_7273;6;0
155;6163850;727450;100M_61638_7274;17;0
155;6163850;727550;100M_61638_7275;18;2
155;6163850;727650;100M_61638_7276;31;0
155;6163850;727750;100M_61638_7277;36;2
155;6163850;727850;100M_61638_7278;27;1
155;6163850;727950;100M_61638_7279;30;2
155;6163850;728050;100M_61638_7280;23;8
155;6163950;725250;100M_61639_7252;6;0
155;6163950;725350;100M_61639_7253;14;0
155;6163950;725450;100M_61639_7254;1;0
155;6163950;726150;100M_61639_7261;3;0
155;6163950;726650;100M_61639_7266;5;0
155;6163950;727250;100M_61639_7272;3;0
155;6163950;727350;100M_61639_7273;5;2
155;6163950;727450;100M_61639_7274;34;1
155;6163950;727550;100M_61639_7275;16;1
155;6163950;727650;100M_61639_7276;44;2
155;6163950;727750;100M_61639_7277;24;10
155;6163950;727850;100M_61639_7278;32;1
155;6163950;727950;100M_61639_7279;36;0
155;6163950;728050;100M_61639_7280;18;1
155;6163950;728150;100M_61639_7281;29;1
155;6164050;725350;100M_61640_7253;2;0
155;6164050;725450;100M_61640_7254;9;2
155;6164050;725550;100M_61640_7255;2;0
155;6164050;726350;100M_61640_7263;2;0
155;6164050;727250;100M_61640_7272;2;0
155;6164050;727350;100M_61640_7273;2;0
155;6164050;727450;100M_61640_7274;2;0
155;6164050;727550;100M_61640_7275;23;4
155;6164050;727650;100M_61640_7276;23;0
155;6164050;727750;100M_61640_7277;34;2
155;6164050;727850;100M_61640_7278;29;0
155;6164050;727950;100M_61640_7279;24;0
155;6164050;728050;100M_61640_7280;34;0
155;6164050;728150;100M_61640_7281;28;0
155;6164050;728250;100M_61640_7282;40;3
155;6164150;725550;100M_61641_7255;4;0
155;6164150;726550;100M_61641_7265;4;0
155;6164150;727150;100M_61641_7271;2;0
155;6164150;727250;100M_61641_7272;5;0
155;6164150;727650;100M_61641_7276;17;2
155;6164150;727750;100M_61641_7277;16;0
155;6164150;727850;100M_61641_7278;29;2
155;6164150;727950;100M_61641_7279;29;0
155;6164150;728050;100M_61641_7280;24;0
155;6164150;728150;100M_61641_7281;29;1
155;6164150;728250;100M_61641_7282;20;2
155;6164250;726550;100M_61642_7265;0;16
155;6164250;726850;100M_61642_7268;2;0
155;6164250;727050;100M_61642_7270;2;1
155;6164250;727150;100M_61642_7271;9;0
155;6164250;727250;100M_61642_7272;8;1
155;6164250;727850;100M_61642_7278;18;0
155;6164250;727950;100M_61642_7279;26;1
155;6164250;728050;100M_61642_7280;24;0
155;6164250;728150;100M_61642_7281;35;0
155;6164250;728250;100M_61642_7282;28;1
155;6164350;727050;100M_61643_7270;3;0
155;6164350;727150;100M_61643_7271;4;0
155;6164350;727250;100M_61643_7272;4;0
155;6164350;727850;100M_61643_7278;10;0
155;6164350;727950;100M_61643_7279;34;1
155;6164350;728050;100M_61643_7280;21;13
155;6164350;728150;100M_61643_7281;28;4
155;6164350;728250;100M_61643_7282;25;4
155;6164350;728350;100M_61643_7283;22;1
155;6164450;726950;100M_61644_7269;6;3
155;6164450;727950;100M_61644_7279;24;1
155;6164450;728050;100M_61644_7280;27;1
155;6164450;728150;100M_61644_7281;24;1
155;6164450;728250;100M_61644_7282;19;8
155;6164450;728350;100M_61644_7283;4;0
155;6164550;727250;100M_61645_7272;2;0
155;6164550;727350;100M_61645_7273;1;0
155;6164550;727850;100M_61645_7278;1;0
155;6164550;727950;100M_61645_7279;29;1
155;6164550;728050;100M_61645_7280;38;4
155;6164550;728150;100M_61645_7281;20;33
155;6164550;728250;100M_61645_7282;14;0
155;6164650;728050;100M_61646_7280;19;0
155;6164650;728150;100M_61646_7281;22;1
155;6164750;728050;100M_61647_7280;12;11
155;6164850;727050;100M_61648_7270;1;1
185;6164950;724950;100M_61649_7249;3;0
155;6164950;728150;100M_61649_7281;2;1
155;6165050;728150;100M_61650_7281;0;2
185;6165150;724850;100M_61651_7248;2;0
185;6165150;724950;100M_61651_7249;2;0
185;6165150;725450;100M_61651_7254;7;0
185;6165150;726950;100M_61651_7269;14;6
155;6165150;728250;100M_61651_7282;1;1
185;6165250;725350;100M_61652_7253;5;0
185;6165250;725450;100M_61652_7254;6;0
185;6165250;725550;100M_61652_7255;5;0
185;6165250;726750;100M_61652_7267;0;1
185;6165350;725250;100M_61653_7252;0;0
185;6165350;725350;100M_61653_7253;8;0
185;6165350;725450;100M_61653_7254;7;0
185;6165350;725550;100M_61653_7255;0;5
185;6165350;726850;100M_61653_7268;1;0
185;6165350;726950;100M_61653_7269;12;0
185;6165350;727050;100M_61653_7270;2;0
155;6165350;728050;100M_61653_7280;4;1
155;6165350;728750;100M_61653_7287;92;2
155;6165350;729150;100M_61653_7291;6;1
155;6165350;729250;100M_61653_7292;9;0
185;6165450;725450;100M_61654_7254;2;0
185;6165450;725550;100M_61654_7255;1;0
185;6165450;726850;100M_61654_7268;11;16
185;6165450;726950;100M_61654_7269;1;0
185;6165450;727150;100M_61654_7271;1;0
185;6165450;727250;100M_61654_7272;2;0
155;6165450;728850;100M_61654_7288;2;0
155;6165450;729050;100M_61654_7290;1;0
155;6165450;729150;100M_61654_7291;24;0
155;6165450;729250;100M_61654_7292;43;0
155;6165450;729350;100M_61654_7293;40;2
155;6165450;729450;100M_61654_7294;19;3
155;6165450;729550;100M_61654_7295;11;0
155;6165450;729650;100M_61654_7296;2;0
185;6165550;725750;100M_61655_7257;2;1
185;6165550;725950;100M_61655_7259;1;0
185;6165550;726850;100M_61655_7268;4;15
185;6165550;726950;100M_61655_7269;3;0
155;6165550;728350;100M_61655_7283;4;1
155;6165550;728850;100M_61655_7288;1;0
155;6165550;729150;100M_61655_7291;44;2
155;6165550;729250;100M_61655_7292;42;3
155;6165550;729350;100M_61655_7293;38;1
155;6165550;729450;100M_61655_7294;27;2
155;6165550;729550;100M_61655_7295;24;6
155;6165550;729650;100M_61655_7296;32;1
155;6165550;729750;100M_61655_7297;50;1
155;6165550;729850;100M_61655_7298;11;1
155;6165550;729950;100M_61655_7299;0;0
155;6165550;730250;100M_61655_7302;2;0
185;6165650;725450;100M_61656_7254;4;1
185;6165650;725550;100M_61656_7255;2;0
185;6165650;726050;100M_61656_7260;4;1
185;6165650;726150;100M_61656_7261;2;0
185;6165650;726650;100M_61656_7266;4;3
185;6165650;726750;100M_61656_7267;5;1
185;6165650;726850;100M_61656_7268;15;1
155;6165650;728650;100M_61656_7286;5;3
155;6165650;728850;100M_61656_7288;1;0
155;6165650;728950;100M_61656_7289;3;0
155;6165650;729050;100M_61656_7290;15;0
155;6165650;729150;100M_61656_7291;30;0
155;6165650;729250;100M_61656_7292;46;2
155;6165650;729350;100M_61656_7293;39;0
155;6165650;729450;100M_61656_7294;35;0
155;6165650;729550;100M_61656_7295;28;2
155;6165650;729650;100M_61656_7296;83;5
155;6165650;729750;100M_61656_7297;100;10
155;6165650;729850;100M_61656_7298;41;31
155;6165650;729950;100M_61656_7299;31;9
155;6165650;730050;100M_61656_7300;9;1
155;6165650;730150;100M_61656_7301;9;2
155;6165650;730250;100M_61656_7302;66;0
155;6165650;730350;100M_61656_7303;34;0
155;6165650;730550;100M_61656_7305;0;3
185;6165750;724950;100M_61657_7249;12;1
185;6165750;725050;100M_61657_7250;17;0
185;6165750;725150;100M_61657_7251;5;0
185;6165750;725350;100M_61657_7253;3;0
185;6165750;725450;100M_61657_7254;1;0
185;6165750;725650;100M_61657_7256;4;0
185;6165750;726250;100M_61657_7262;6;0
185;6165750;726350;100M_61657_7263;2;1
185;6165750;726550;100M_61657_7265;3;12
185;6165750;726850;100M_61657_7268;0;2
155;6165750;728950;100M_61657_7289;2;1
155;6165750;729150;100M_61657_7291;6;0
155;6165750;729250;100M_61657_7292;27;1
155;6165750;729350;100M_61657_7293;34;0
155;6165750;729450;100M_61657_7294;22;0
155;6165750;729550;100M_61657_7295;34;0
155;6165750;729650;100M_61657_7296;60;1
155;6165750;729750;100M_61657_7297;154;3
155;6165750;729850;100M_61657_7298;65;1
155;6165750;729950;100M_61657_7299;87;0
155;6165750;730050;100M_61657_7300;100;1
155;6165750;730150;100M_61657_7301;44;0
155;6165750;730250;100M_61657_7302;19;11
155;6165750;730350;100M_61657_7303;49;9
155;6165750;730450;100M_61657_7304;0;0
155;6165750;730550;100M_61657_7305;0;0
185;6165850;724950;100M_61658_7249;1;0
185;6165850;725050;100M_61658_7250;34;0
185;6165850;725150;100M_61658_7251;32;0
185;6165850;725250;100M_61658_7252;39;1
185;6165850;725350;100M_61658_7253;17;1
185;6165850;725450;100M_61658_7254;5;0
185;6165850;725550;100M_61658_7255;4;0
185;6165850;725650;100M_61658_7256;1;0
185;6165850;725750;100M_61658_7257;1;0
185;6165850;726250;100M_61658_7262;2;0
185;6165850;726550;100M_61658_7265;2;0
185;6165850;726650;100M_61658_7266;2;0
185;6165850;726750;100M_61658_7267;8;1
155;6165850;728450;100M_61658_7284;2;1
155;6165850;728550;100M_61658_7285;2;5
155;6165850;729150;100M_61658_7291;11;0
155;6165850;729250;100M_61658_7292;32;0
155;6165850;729350;100M_61658_7293;34;2
155;6165850;729450;100M_61658_7294;26;0
155;6165850;729550;100M_61658_7295;24;0
155;6165850;729650;100M_61658_7296;25;0
155;6165850;729750;100M_61658_7297;21;1
155;6165850;729850;100M_61658_7298;23;42
155;6165850;729950;100M_61658_7299;37;1
155;6165850;730050;100M_61658_7300;63;0
155;6165850;730150;100M_61658_7301;42;0
155;6165850;730250;100M_61658_7302;38;3
155;6165850;730350;100M_61658_7303;38;14
155;6165850;730450;100M_61658_7304;62;1
155;6165850;730550;100M_61658_7305;42;10
155;6165850;730650;100M_61658_7306;26;0
185;6165950;724950;100M_61659_7249;2;0
185;6165950;725050;100M_61659_7250;30;3
185;6165950;725150;100M_61659_7251;32;4
185;6165950;725250;100M_61659_7252;25;1
185;6165950;725350;100M_61659_7253;38;0
185;6165950;725450;100M_61659_7254;29;1
185;6165950;725650;100M_61659_7256;3;0
185;6165950;725750;100M_61659_7257;0;3
185;6165950;727150;100M_61659_7271;2;1
155;6165950;729150;100M_61659_7291;17;0
155;6165950;729250;100M_61659_7292;28;0
155;6165950;729350;100M_61659_7293;28;2
155;6165950;729450;100M_61659_7294;33;1
155;6165950;729550;100M_61659_7295;20;0
155;6165950;729650;100M_61659_7296;25;1
155;6165950;729750;100M_61659_7297;33;0
155;6165950;729850;100M_61659_7298;38;7
155;6165950;729950;100M_61659_7299;22;0
155;6165950;730050;100M_61659_7300;30;2
155;6165950;730150;100M_61659_7301;29;1
155;6165950;730250;100M_61659_7302;36;30
155;6165950;730350;100M_61659_7303;25;2
155;6165950;730450;100M_61659_7304;62;0
155;6165950;730550;100M_61659_7305;103;1
155;6165950;730650;100M_61659_7306;65;0
155;6165950;730750;100M_61659_7307;22;0
185;6166050;725050;100M_61660_7250;21;1
185;6166050;725150;100M_61660_7251;44;0
185;6166050;725250;100M_61660_7252;42;2
185;6166050;725350;100M_61660_7253;27;1
185;6166050;725450;100M_61660_7254;18;5
185;6166050;727350;100M_61660_7273;6;1
155;6166050;728550;100M_61660_7285;3;0
155;6166050;728650;100M_61660_7286;0;1
155;6166050;729150;100M_61660_7291;32;0
155;6166050;729250;100M_61660_7292;28;2
155;6166050;729350;100M_61660_7293;29;2
155;6166050;729450;100M_61660_7294;30;1
155;6166050;729550;100M_61660_7295;21;0
155;6166050;729650;100M_61660_7296;24;0
155;6166050;729750;100M_61660_7297;33;0
155;6166050;729850;100M_61660_7298;27;1
155;6166050;729950;100M_61660_7299;31;0
155;6166050;730050;100M_61660_7300;22;1
155;6166050;730150;100M_61660_7301;26;2
155;6166050;730250;100M_61660_7302;17;0
155;6166050;730350;100M_61660_7303;39;0
155;6166050;730450;100M_61660_7304;35;1
155;6166050;730550;100M_61660_7305;75;9
155;6166050;730650;100M_61660_7306;82;0
155;6166050;730750;100M_61660_7307;51;0
155;6166050;730850;100M_61660_7308;8;0
185;6166150;725050;100M_61661_7250;29;27
185;6166150;725150;100M_61661_7251;42;1
185;6166150;725250;100M_61661_7252;54;1
185;6166150;725350;100M_61661_7253;38;2
185;6166150;726150;100M_61661_7261;5;0
185;6166150;726450;100M_61661_7264;2;0
155;6166150;728650;100M_61661_7286;3;1
155;6166150;729150;100M_61661_7291;34;0
155;6166150;729250;100M_61661_7292;30;2
155;6166150;729350;100M_61661_7293;28;1
155;6166150;729450;100M_61661_7294;31;0
155;6166150;729550;100M_61661_7295;29;0
155;6166150;729650;100M_61661_7296;29;0
155;6166150;729750;100M_61661_7297;43;1
155;6166150;729850;100M_61661_7298;26;0
155;6166150;729950;100M_61661_7299;28;5
155;6166150;730050;100M_61661_7300;34;6
155;6166150;730150;100M_61661_7301;19;1
155;6166150;730250;100M_61661_7302;20;0
155;6166150;730350;100M_61661_7303;31;0
155;6166150;730450;100M_61661_7304;36;0
155;6166150;730550;100M_61661_7305;29;3
155;6166150;730650;100M_61661_7306;50;0
155;6166150;730750;100M_61661_7307;36;7
155;6166150;730850;100M_61661_7308;58;0
185;6166250;725050;100M_61662_7250;22;0
185;6166250;725150;100M_61662_7251;15;2
185;6166250;725250;100M_61662_7252;37;3
185;6166250;725350;100M_61662_7253;28;2
155;6166250;728650;100M_61662_7286;2;0
155;6166250;729150;100M_61662_7291;35;0
155;6166250;729250;100M_61662_7292;25;0
155;6166250;729350;100M_61662_7293;40;0
155;6166250;729450;100M_61662_7294;30;0
155;6166250;729550;100M_61662_7295;30;1
155;6166250;729650;100M_61662_7296;28;2
155;6166250;729750;100M_61662_7297;42;1
155;6166250;729850;100M_61662_7298;12;0
155;6166250;729950;100M_61662_7299;31;0
155;6166250;730050;100M_61662_7300;23;0
155;6166250;730150;100M_61662_7301;30;1
155;6166250;730250;100M_61662_7302;24;2
155;6166250;730350;100M_61662_7303;35;0
155;6166250;730450;100M_61662_7304;28;1
155;6166250;730550;100M_61662_7305;32;4
155;6166250;730650;100M_61662_7306;20;0
155;6166250;730850;100M_61662_7308;7;3
155;6166250;730950;100M_61662_7309;22;0
185;6166350;725050;100M_61663_7250;22;1
185;6166350;725150;100M_61663_7251;38;0
185;6166350;725250;100M_61663_7252;36;0
185;6166350;725350;100M_61663_7253;30;0
185;6166350;725450;100M_61663_7254;21;1
185;6166350;725550;100M_61663_7255;14;0
185;6166350;725650;100M_61663_7256;2;6
185;6166350;725750;100M_61663_7257;5;4
185;6166350;725850;100M_61663_7258;0;0
185;6166350;726550;100M_61663_7265;5;0
155;6166350;729050;100M_61663_7290;11;0
155;6166350;729150;100M_61663_7291;18;21
155;6166350;729250;100M_61663_7292;18;6
155;6166350;729350;100M_61663_7293;23;1
155;6166350;729450;100M_61663_7294;33;10
155;6166350;729550;100M_61663_7295;32;0
155;6166350;729650;100M_61663_7296;23;0
155;6166350;729750;100M_61663_7297;33;0
155;6166350;729850;100M_61663_7298;37;0
155;6166350;729950;100M_61663_7299;29;1
155;6166350;730050;100M_61663_7300;29;0
