Kommune;Stopnr;Linje;Retn.;Stopnavn;På_201902;Af_201902;På_201903;Af_201903;På_202002;Af_202002;På_202003;Af_202003
Rødovre;100;200S;1;Fortvej;74;49;100;96;122;42;46;23
Tårnby;1000;34;1;Amagerhallen;0;38;11;7;1;18;0;8
København;10004;26;1;Langeliniekaj (Midt);6;37;3;32;;;;
København;10004;27;1;Langeliniekaj (Midt);;;;;0;0;0;0
København;10004;27;2;Langeliniekaj (Midt);;;;;0;0;0;0
København;10005;26;1;Langeliniekaj (Østmolen);0;43;0;56;;;;
København;10005;26;2;Langeliniekaj (Østmolen);41;1;51;1;;;;
København;10005;27;1;Langeliniekaj (Østmolen);;;;;0;0;16;0
København;10005;27;2;Langeliniekaj (Østmolen);;;;;0;0;0;0
København;10006;26;2;Langeliniekaj;10;0;11;0;;;;
København;10006;27;1;Langeliniekaj;;;;;0;0;0;0
København;10006;27;2;Langeliniekaj;;;;;9;0;8;0
København;10008;26;1;Indiakaj;2;15;2;8;;;;
København;10008;26;2;Indiakaj;96;6;114;6;;;;
København;10008;27;1;Indiakaj;;;;;19;0;0;17
København;10008;27;2;Indiakaj;;;;;46;24;47;4
Tårnby;1001;34;1;Løjtegårdsskolen;2;20;0;17;0;8;0;8
Gladsaxe;10010;160;2;Gladsaxevej;;;;;2;0;2;0
Gladsaxe;10010;164;2;Gladsaxevej;;;;;54;52;20;28
Gladsaxe;10010;166;1;Gladsaxevej;;;;;47;28;40;26
Gladsaxe;10010;42;2;Gladsaxevej;20;41;19;25;;;;
Gladsaxe;10010;68;1;Gladsaxevej;;;;;10;51;2;5
Gladsaxe;10013;160;1;Gladsaxe Møllevej;0;0;0;0;3;2;3;2
Gladsaxe;10013;164;1;Gladsaxe Møllevej;;;;;37;8;26;11
Gladsaxe;10013;166;2;Gladsaxe Møllevej;;;;;9;17;7;12
Gladsaxe;10013;42;1;Gladsaxe Møllevej;89;4;105;6;;;;
Gladsaxe;10013;68;2;Gladsaxe Møllevej;;;;;21;13;5;5
Gladsaxe;10014;160;1;Rosenkæret;0;0;0;0;0;0;0;0
Gladsaxe;10014;164;1;Rosenkæret;;;;;6;2;3;3
Gladsaxe;10014;166;2;Rosenkæret;;;;;6;13;1;11
Gladsaxe;10014;42;1;Rosenkæret;13;9;4;22;;;;
Gladsaxe;10014;68;2;Rosenkæret;;;;;6;7;1;2
Roskilde;10015;216;1;Vink - Lille Valby;0;0;0;0;0;0;0;0
Roskilde;10016;216;2;Vink - Lille Valby;0;0;0;0;0;0;0;0
København;10017;12;1;Nørrebro Bycenter;;;;;43;111;24;52
København;10017;4A;1;Nørrebro Bycenter;471;305;515;327;;;;
Frederikssund;10018;315;1;Færgegård;0;0;1;0;0;0;0;0
Frederikssund;10018;318;1;Færgegård;13;0;3;0;7;0;3;0
Dragør;1002;33;2;Store Magleby Strandvej;0;0;2;2;6;4;6;1
Greve;10021;224;1;Fløjterupvej;1;3;0;3;0;2;0;1
Greve;10022;224;1;Sortemosen;0;1;0;0;0;2;0;1
Greve;10023;224;2;Sortemosen;0;0;0;0;0;0;1;0
Greve;10024;224;2;Fløjterupvej;1;1;0;0;2;0;3;0
København;10025;10;1;Toftegårds Plads;;;;;134;125;72;83
København;10025;18;1;Toftegårds Plads;;;;;173;576;78;321
København;10025;1A;2;Toftegårds Plads;606;484;584;515;;;;
København;10025;4A;2;Toftegårds Plads;402;494;415;602;;;;
Hillerød;10029;65E;1;Hillerød st.;0;172;0;161;0;156;0;112
Hillerød;10029;65E;2;Hillerød st.;113;0;129;0;117;0;108;0
Dragør;1003;33;2;Fælledvej;0;0;0;2;1;0;0;0
Fredensborg;10030;370;2;Kovangen 302;0;2;0;1;0;1;0;0
Fredensborg;10030;374;2;Kovangen 302;0;0;0;0;0;0;0;0
Fredensborg;10031;370;2;Kovangen;1;1;1;1;1;1;0;1
Fredensborg;10031;374;2;Kovangen;1;0;0;0;1;0;1;0
Fredensborg;10032;370;2;Kovangen 302;2;2;2;3;1;1;2;1
Fredensborg;10032;374;2;Kovangen 302;1;0;1;0;1;0;1;0
Rudersdal;10034;170;2;Holte Midtpunkt;0;0;0;0;0;0;0;0
Rudersdal;10035;170;1;Holte Midtpunkt;6;40;18;45;12;50;13;15
Dragør;1004;33;2;Bachersmindelejren;0;0;0;0;0;2;0;0
Hillerød;10040;305;1;Trollesminde Allé;30;32;36;41;23;41;12;37
Hillerød;10040;600S;1;Trollesminde Allé;54;153;66;135;46;97;18;51
Hillerød;10040;65E;2;Trollesminde Allé;3;8;9;9;4;11;3;6
Hillerød;10041;305;1;Hillerød Handelsgymnasium Knord;156;305;289;405;284;291;187;313
Hillerød;10042;305;1;Trollesminde Allé;38;15;51;33;47;22;47;16
Hillerød;10042;600S;2;Trollesminde Allé;91;78;90;82;81;85;16;81
Hillerød;10042;65E;1;Trollesminde Allé;16;7;14;9;16;9;6;5
Roskilde;10043;220;1;Roskilde st., Sygehuset;140;121;124;139;83;112;60;91
Roskilde;10043;240;1;Roskilde st., Sygehuset;0;8;0;11;0;6;0;7
Roskilde;10043;600S;2;Roskilde st., Sygehuset;728;462;740;538;738;558;355;251
Roskilde;10044;202A;1;Roskilde st., Sygehuset;122;0;184;0;34;0;;
Roskilde;10044;202A;2;Roskilde st., Sygehuset;;;;;0;0;;
