;H10 Grundskole;H20 Gymnasiale uddannelser;H30 Erhvervsfaglige uddannelser;H35 Adgangsgivende uddannelsesforløb;H40 Korte videregående uddannelser, KVU;H50 Mellemlange videregående uddannelser, MVU;H60 Bacheloruddannelser, BACH;H70 Lange videregående uddannelser, LVU;H80 Ph.d. og forskeruddannelser
København;80920;75772;72608;291;22208;70987;30553;100624;8166
Frederiksberg;10948;10921;10770;40;3389;11776;4601;19494;1707
Dragør;1974;1046;2549;3;572;1413;169;1165;82
Tårnby;8112;2780;10514;9;1537;3426;388;2071;144
Albertslund;6196;2230;4913;13;890;2761;315;1259;87
Ballerup;9034;2983;9962;29;1599;4485;425;2801;373
Brøndby;8186;2407;7520;16;1134;2696;344;1472;96
Gentofte;8537;6641;7064;25;2490;8448;1720;13534;1456
Gladsaxe;10923;5392;11765;46;2394;7612;1162;7164;949
Glostrup;4148;1501;5228;12;875;2056;237;1202;92
Herlev;5219;1990;5943;19;969;2730;282;1656;200
Hvidovre;10053;3792;11540;22;1956;4791;733;3036;253
Høje-Taastrup;10696;3537;10943;22;1923;4162;442;2387;246
Ishøj;5627;1639;4815;13;757;1694;231;876;78
Rødovre;7169;2703;8377;13;1322;3779;509;2441;237
Vallensbæk;2516;1177;3308;10;682;1494;208;1045;78
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
