Municipality,Density,DagNatRatio,pct_unemployed,pct_highly_educated,pct_not_vestern,income,median_age,speed_change,passenger_change,covid_mean_per_100000,covid_decrease
Albertslund,1203.6024305555557,0.8397428793084342,671,0.08899485640805829,0.33856253318530677,208399,39,0.05024221340917168,0.5096887844979449,8.0,0.3928571428571429
Ballerup,1425.6966852449398,0.9052424888626144,836,0.11356536556120034,0.15386624249186867,236121,43,0.06167402207518824,0.4219631440391125,10.0,0.13492063492063489
Brøndby,1682.9736211031175,0.7467185079077382,1035,0.08009718905785262,0.39367701962030344,211029,41,0.06769471733570473,0.3525715230692906,21.0,0.20779220779220786
Dragør,787.2895165670831,0.3371247570369304,172,0.15780675359411567,0.044311549823474315,311793,47,0.044119961832606656,0.3718013045659809,6.0,0.09523809523809523
Frederiksberg,11989.080459770115,0.7436238403440789,2197,0.35035168237243025,0.11717453007015477,276683,37,0.08443107781712784,0.453274889519635,13.0,0.2244897959183674
Gentofte,2929.9138606108068,0.6554027504911591,1054,0.33476910748272065,0.09687632840327759,427370,44,0.04243076737060934,0.4336941073183957,3.0,0.30952380952380953
Gladsaxe,2770.48,0.779529582489343,1161,0.1956462125846394,0.18876149938212275,250679,39,0.05306417834886443,0.3932052670580859,14.0,0.2571428571428572
Glostrup,1737.640871525169,0.9543946932006634,463,0.09973291642238291,0.19914968631720847,232928,41,0.06634780590623478,0.394801051051051,22.0,0.20408163265306126
Herlev,2404.734219269103,0.6433810180814755,434,0.11247895622895623,0.18354249274414422,236643,41,0.058591782952214004,0.4047982108366372,9.0,0.2857142857142857
Hvidovre,2337.4235807860264,0.6582481497942069,1002,0.11117868199911543,0.18787865338097245,229211,39,0.0532192030517419,0.3966494415735956,9.0,0.25170068027210885
Høje-Taastrup,647.3536538706798,0.8217880873751642,1215,0.08949880668257756,0.306201749871333,225609,40,0.0014440982792982237,0.4341876088579248,8.0,0.14285714285714288
Ishøj,886.237471087124,0.4966666666666666,669,0.07533375715193898,0.5207382417146259,205800,38,0.02253403654215258,0.3394409937888199,13.0,0.36190476190476184
København,7318.749999999999,0.797671152840845,16873,0.3015240333326842,0.18132786827056543,228338,32,0.06585730199925235,0.454549802624841,9.0,0.23650793650793658
Rødovre,3354.1254125412543,0.4800981245548786,926,0.12003766478342749,0.19804314511375692,232107,40,0.08860744198902781,0.3807641633728591,5.0,0.26984126984126977
Tårnby,661.8783679753657,0.6158711764563869,699,0.0898174666160588,0.108078152386844,245993,42,0.0723499697212784,0.36143424113863415,8.0,0.2666666666666667
Vallensbæk,1802.0585048754062,0.41121809979125984,301,0.1265449705267161,0.2852947994745383,255657,39,0.06064212858500605,0.31537793223284105,14.0,0.3928571428571429
